Young's Modulus (Material),Poisson's Ratio (Material),Young's Modulus (Equipment),Poisson's Ratio (Equipment),Coefficient of Restitution (Interaction),Shear Modulus (Material),Shear Modulus (Equipment),Archard Wear Constant,Plate Angle,Particle Size,Factory Z Velocity,Damping Coefficient (η),Wear Rate
18342234021,0.249805577,40967994713,0.208915677,0.422945481,7338034955,16944107639,3.93E-09,36.48493419,0.022331531,-1.466448304,-3868.591684,0.00492796
19428023376,0.342223866,49800020690,0.277232823,0.488926422,7237251499,19495279088,2.00E-09,32.13636246,0.033099821,-5.024002208,-5880.275909,0.007678635
6554601810,0.339661229,1.56E+11,0.26122728,0.479790499,2446365420,62041693591,5.31E-09,63.15907444,0.017288001,-1.694367681,-1543.128072,0.00460754
17331733373,0.349088151,1.02E+11,0.272803377,0.521627895,6423499221,40200720987,5.01E-09,40.96599279,0.020061417,-7.16486785,-2611.983239,0.032256397
21350155102,0.208029459,2.32E+11,0.326603108,0.606425884,8836769226,87483903482,1.99E-09,58.90980517,0.036577348,-5.360449387,-6798.831758,0.013297081
7110904209,0.294136793,1.58E+11,0.288697251,0.404873846,2747354163,61219352795,1.13E-09,21.28432093,0.026559518,-4.089031574,-3801.612157,0.002241503
24075159427,0.225880463,40299609285,0.290123966,0.70149031,9819537937,15618502696,7.11E-09,32.02585596,0.03083301,-2.599358246,-2960.490948,0.013689804
25829073721,0.305023855,1.81E+11,0.341575983,0.40781853,9896015930,67611165172,6.52E-09,18.23110191,0.033123621,-2.56230133,-11975.20486,0.007398161
9803245668,0.236221508,79398611984,0.274813693,0.210360756,3965003683,31141261039,1.20E-09,6.899387649,0.028118325,-7.922207689,-7404.516697,0.005455186
19027595003,0.307312531,1.85E+11,0.274925184,0.715292787,7277370390,72703882924,7.44E-09,26.94883426,0.01700322,-5.215161632,-1000.230638,0.016665929
8292840184,0.340333273,1.91E+11,0.331564248,0.769412345,3093573946,71873424108,8.48E-09,41.39037194,0.020456604,-2.21256614,-759.7187338,0.013543378
10875339122,0.312077944,1.98E+11,0.323123724,0.67530775,4144319007,75001936371,7.02E-09,69.08399204,0.035491003,-6.417360579,-4097.184516,0.056820831
20231253659,0.338096344,1.21E+11,0.270074548,0.265835268,7559714872,47484213384,6.19E-09,41.67647103,0.034186068,-3.427164374,-14475.45678,0.026285013
25772328422,0.291055562,1.96E+11,0.273088478,0.272026882,9981107391,76818007924,6.46E-09,10.63050907,0.023478728,-6.572964887,-9010.319941,0.01895125
8770548142,0.223121171,2.13E+11,0.205424183,0.292096773,3585314502,88337557312,3.99E-09,33.1361667,0.028933602,-3.642625318,-6567.901869,0.011809225
24739787529,0.339699813,1.65E+11,0.291497746,0.212603132,9233332455,63838928462,8.08E-09,40.01429457,0.009955415,-0.154792278,-1815.633923,0.003962149
21456028106,0.2145642,1.10E+11,0.317384072,0.212442314,8832809378,41923612153,1.46E-09,17.92128664,0.025665067,-6.470024463,-10739.32475,0.005693788
13070943907,0.244948419,47246694218,0.307253667,0.296256904,5249592559,18070974056,5.08E-09,62.17124953,0.012656301,-6.769459374,-1606.513506,0.028843485
23810792582,0.221053446,1.93E+11,0.297529528,0.369963179,9750102527,74480575962,8.47E-09,60.72853098,0.037055299,-5.084164948,-13761.99042,0.07388703
20226375305,0.345629476,2.12E+11,0.24662173,0.615633415,7515581245,84986284090,8.24E-09,51.11434232,0.016996295,-8.854813263,-1483.725526,0.06935186
23896741427,0.236436766,62594288972,0.210955363,0.583734618,9663551780,25845002591,9.52E-09,23.94900791,0.036114824,-8.812356134,-5956.288812,0.087880064
22725291953,0.276019642,83555200684,0.338258634,0.549198284,8904757894,31217882154,6.68E-09,5.337160138,0.028109941,-9.393792793,-4524.667916,0.041862022
